./download/egfr.txtEGFRINdb ID	EGFR-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000764	>10^4 nM       	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)nc(nc2Nc1cc(ccc1)Br)C
EGIN0000765	463 nM         	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)nc(nc2Nc1cc(ccc1)Br)N
EGIN0000767	0.67 nM        	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1OC)OC)OC)ncnc2Nc1cc(ccc1)Br
EGIN0000768	>10^4 nM       	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(c(c(c(c1)OC)OC)OC)ncnc2Nc1cc(ccc1)Br
EGIN0000769	128 nM         	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)ncnc2Nc1c(cccc1)Br
EGIN0000770	0.96 nM        	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)ncnc2Nc1ccc(cc1)Br
EGIN0000771	0.072 nM       	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)ncnc2Nc1cc(c(cc1)Br)Br
EGIN0000772	113 nM         	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c12c(cc(c(c1)OC)OC)ncnc2Nc1cc(cc(c1)Br)Br
EGIN0000774	0.32 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)I
EGIN0000775	0.085 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(cc1)COc1c(cc(cc1)Nc1ncncc1C#C)Cl)F
EGIN0000776	0.079 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1ccccc1
EGIN0000777	0.063 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1c(cccc1)N
EGIN0000778	0.042 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cc(ccc1)N
EGIN0000779	0.03 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1ccc(cc1)N
EGIN0000780	0.012 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)NC(=O)C
EGIN0000781	25.1 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1ccc(cc1)NC(=O)C
EGIN0000782	0.11 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)NS(=O)(=O)C
EGIN0000783	0.079 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)C(=O)NC
EGIN0000784	0.06 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)CNC(=O)C
EGIN0000785	0.05 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)NC(=O)CCS(=O)(=O)C
EGIN0000786	0.031 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(c1)NC(=O)CCCC(=O)OC
EGIN0000787	0.074 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(cc1)COc1c(cc(cc1)Nc1ncncc1C#Cc1cccnc1)Cl)F
EGIN0000788	0.017 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(cc1)COc1c(cc(cc1)Nc1ncncc1C#Cc1ccccn1)Cl)F
EGIN0000789	0.077 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(cc1)COc1c(cc(cc1)Nc1ncncc1C#Cc1ncccn1)Cl)F
EGIN0000790	0.042 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(cc1)COc1c(cc(cc1)Nc1ncncc1C#Cc1n[nH]cc1)Cl)F
EGIN0000791	0.032 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1ccnc(n1)N
EGIN0000792	0.091 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(n1)NC(=O)C
EGIN0000793	0.076 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1csc(n1)CO
EGIN0000794	0.033 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1ccc(o1)CO
EGIN0000795	0.04 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(n1)CO
EGIN0000796	0.021 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(n1)CN
EGIN0000797	0.023 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(n1)CNC(=O)NC
EGIN0000798	0.015 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	c1c(cc(c(c1)OCc1cc(ccc1)F)Cl)Nc1c(cncn1)C#Cc1cccc(n1)CNC(=O)NCCS(=O)(=O)C
EGIN0000799	50.3 ± 6.1 µM 	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	c1cccc2c1/c(=N/O)/c(=N/Nc1ccccc1)/c2=O
EGIN0000800	55.3 ± 6.7 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	c1cc(cc2c1c1c(/C/2=C\O)cc(cc1)OCC=C)OCC=C
EGIN0000801	50 ± 5.1 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	c1ccc2c(n1)c(ccc2)N/N=C\1/C(=O)Nc2c1cc(cc2)I
EGIN0000802	41.1 ± 4.7 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	C1c2c(N(c3c(C1)cccc3)C(=O)CSc1nc(cc(n1)c1ccccc1)O)cccc2
EGIN0000803	48.4 ± 6.7 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	c1nc2c(c(n1)NCc1cc3OCOc3cc1)cnn2c1cc(ccc1)C
EGIN0000804	44.1 ± 7.9 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	c1c(n[nH]c1NC(=O)c1cccs1)c1ccc(cc1)C
EGIN0000805	44.5 ± 7.9 µM	16413185	Bioorg Med Chem Lett. 	2006 Apr 1;16(7):1969-74	n1c2c(c3c(c1c1occc1)CCCC3)c(n[nH]2)N
EGIN0000807	0.08 nM	17416531	Bioorganic & Medicinal Chemistry	15 (2007) 3635–3648	c1(c(cc2c(c1)c(c(cn2)C#N)Nc1cc(c(cc1)OCc1ccccn1)Cl)OCC)NC(=O)/C=C/CN(C)C
EGIN0000807	0.092 µM	15715478	J. Med. Chem.	2005, 48, 1107-1131	c1(c(cc2c(c1)c(c(cn2)C#N)Nc1cc(c(cc1)OCc1ccccn1)Cl)OCC)NC(=O)/C=C/CN(C)C
EGIN0000807	92  ± 17 nM	15173008	Cancer Res	2004 Jun 1;64(11):3958-65.	c1(c(cc2c(c1)c(c(cn2)C#N)Nc1cc(c(cc1)OCc1ccccn1)Cl)OCC)NC(=O)/C=C/CN(C)C
EGIN0000809	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccccc1
EGIN0000810	24.83 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccccc1F
EGIN0000811	14.18 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccccc1Cl
EGIN0000812	21.92 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccccc1Br
EGIN0000813	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)F
EGIN0000814	41.76 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)Cl
EGIN0000815	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)Br
EGIN0000816	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1F)F
EGIN0000817	45.29 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1Cl)Cl
EGIN0000818	25.74 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)C
EGIN0000819	39.98 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)OC
EGIN0000820	29.62 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cccc1)O)C(=O)Nc1ccc(cc1)C(C)C
EGIN0000821	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccccc1
EGIN0000822	22.19 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccccc1Br
EGIN0000823	40.17 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1)F
EGIN0000824	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1)Cl
EGIN0000825	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1F)F
EGIN0000826	31.09 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1Cl)Cl
EGIN0000827	34.67 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1)C
EGIN0000828	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(cc(cc1)C)O)C(=O)Nc1ccc(cc1)C(C)C
EGIN0000829	4.37 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccccc1Cl
EGIN0000830	0.92 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccccc1Br
EGIN0000831	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1)F
EGIN0000832	13.04 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1)Cl
EGIN0000833	13.7 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1)Br
EGIN0000834	9.66 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1Cl)Cl
EGIN0000835	2.68 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1)C
EGIN0000836	0.63 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(ccc(c1)I)O)C(=O)Nc1ccc(cc1)OC
EGIN0000837	>50 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(c(cc(c1)Br)Br)O)C(=O)Nc1ccc(cc1)F
EGIN0000838	12.19 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(c(cc(c1)Br)Br)O)C(=O)Nc1ccc(cc1)Cl
EGIN0000839	28.53 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(c(cc(c1)Br)Br)O)C(=O)Nc1ccc(cc1)Br
EGIN0000840	22.39 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1(c(c(cc(c1)Br)Br)O)C(=O)Nc1ccc(cc1)OC
EGIN0000841	0.32 µM	20583855	J Enzyme Inhib Med Chem	2011 Feb;26(1):37-45	c1c(c(=O)[nH]c(=O)[nH]1)F
EGIN0000842	>81.3 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C(=O)OCC
EGIN0000843	0.42 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OCC)OCC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000844	0.98 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OCC)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000845	0.19 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000846	0.18 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Cl)C#N
EGIN0000847	1.45 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)C(F)(F)F)C#N
EGIN0000848	50.49 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)OC)OC)C#N
EGIN0000849	0.74 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)F)C#N
EGIN0000850	14.18 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)C#N)C#N
EGIN0000851	47.94 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(cc1)F)C#N 
EGIN0000852	7.38 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)C(=O)C)C#N
EGIN0000853	0.82 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)N)C#N
EGIN0000854	0.85 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)N(C)C)C#N
EGIN0000855	0.87 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)N(=O)=O)C#N
EGIN0000856	0.54 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000856	5.17 µM	11814812	Bioorganic & Medicinal Chemistry Letters	12 (2002) 423–425	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000857	13.85 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(cc(cc1)Cl)F)C#N
EGIN0000858	6.36 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)O)C#N
EGIN0000859	2.73 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(cc1)C)C#N
EGIN0000860	7.69 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)C(=O)N)C#N
EGIN0000861	1.79 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)Br)C)C#N
EGIN0000862	9.04 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)Cl)O)C#N
EGIN0000863	3.15 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cc(c(c(c1)Cl)O)Cl)C#N
EGIN0000864	17.02 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(cc(cc1)Cl)O)C#N
EGIN0000865	0.76 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)SC)C#N
EGIN0000866	1.48 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)Cl)C)C#N
EGIN0000867	>91.2 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(cc(cc1)Br)F)C#N
EGIN0000868	0.23 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(cc1)C(C)C)C#N
EGIN0000869	0.36 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(cccc1)C(C)C)C#N
EGIN0000870	62.32 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)C(C)C)C#N
EGIN0000871	6.65 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(cc1)Br)C#N
EGIN0000872	4.18 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(cccc1)Br)C#N
EGIN0000873	0.16 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(c(c1)C(F)(F)F)F)C#N
EGIN0000874	0.84 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1c(c(ccc1)Br)C)C#N
EGIN0000875	0.62 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cc(c(cc1)Br)C)C#N
EGIN0000876	2.21 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(c(C#N)cnc1cc(c(c2)OC)OC)Nc1cc(N=[N+]=[N-])ccc1
EGIN0000877	69.4 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1ccc(cc1)NC(=O)C)C#N
EGIN0000878	21.19 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OCC)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000879	33.02 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OCC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000880	>104.7 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc3c(c1)OCCO3)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000881	>102.2 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)CO
EGIN0000882	3.37 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C=O
EGIN0000883	34.22 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C(=O)O
EGIN0000883	8719 ± 38 nM 	22309911	European Journal of Medicinal Chemistry	49 (2012) 271e278	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C(=O)O
EGIN0000884	15.17 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)ncc(c2Nc1cccc(c1)Br)C(=O)N
EGIN0000885	0.35 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)O)O)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000886	6.75 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OCOC)OCOC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000887	1.1 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OCCOC)OCCOC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000888	6.79 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc3c(c1)OCO3)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000889	5.15 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc3c(c1)OCCCO3)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000890	70.84 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)c(cnc2Nc1cccc(c1)Br)C#N
EGIN0000891	88.29 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c12c(cc(c(c1)OC)OC)c(cnc2Nc1cccc(c1)Cl)C#N
EGIN0000894	0.70 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	c12cc(ccc1ncnc2Cc1cc(ccc1)Br)NC(=O)C=C
EGIN0000896	0.17 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)N(C(=O)C=C)C
EGIN0000897	1.6 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)C(=C)C
EGIN0000898	0.339 µM	11495584	J Med Chem. 	2001 Aug 16;44(17):2719-34.	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)C(=C)C
EGIN0000898	1.2 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)C(=C)C
EGIN0000899	0.50 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)/C=C/C
EGIN0000900	0.236 µM	11495584	J Med Chem. 	2001 Aug 16;44(17):2719-34.	c12c(ccc(c1)NC(=O)/C=C\C)ncnc2Nc1cccc(c1)Br
EGIN0000900	0.269 µM	11495584	J Med Chem. 	2001 Aug 16;44(17):2719-34.	c12c(ccc(c1)NC(=O)/C=C\C)ncnc2Nc1cccc(c1)Br
EGIN0000900	0.55 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	c12c(ccc(c1)NC(=O)/C=C\C)ncnc2Nc1cccc(c1)Br
EGIN0000901	0.69 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)/C=C/Cl
EGIN0000902	1.75 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)/C=C/C(F)(F)F
EGIN0000903	1.1 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)/C=C/C=C
EGIN0000904	1.6 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)C=C=C
EGIN0000905	9.1 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)/C=C/c1ccccc1
EGIN0000906	1.2 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)/C=C/C(=O)C
EGIN0000907	0.37 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)/C=C/C(=O)O
EGIN0000908	2.7 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)NC(=O)/C=C/C(=O)OCC
EGIN0000909	1.5 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)/C=C/C(=O)OCC
EGIN0000910	4.2 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)NC(=O)C(=C)CCN(C)C
EGIN0000911	2.7 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(nc2)N(C(=O)C=C)CCCN1CCOCC1
EGIN0000912	3.3 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	n1cnc2c(c1Nc1cccc(c1)Br)cc(cc2)N(C(=O)C=C)CCCN1CCOCC1
